created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2019-09-11 15:42:48 UTC,1,27,72,,,,
2019-09-11 15:43:13 UTC,2,27,72,,,,
2019-09-11 15:44:52 UTC,3,27,73,,,,
2019-09-11 15:45:52 UTC,4,28,73,,,,
2019-09-11 15:46:30 UTC,5,30,64,,,,
2019-09-11 15:47:28 UTC,6,31,62,,,,
2019-09-11 15:48:18 UTC,7,32,58,,,,
2019-09-11 15:48:34 UTC,8,32,56,,,,
2019-09-11 15:48:50 UTC,9,32,55,,,,
2019-09-11 15:49:06 UTC,10,32,55,,,,
2019-09-11 15:49:21 UTC,11,32,55,,,,
2019-09-11 15:51:18 UTC,12,33,56,,,,
2019-09-11 15:51:45 UTC,13,31,61,,,,
2019-09-17 22:11:38 UTC,14,28,70,,,,
2019-09-17 22:12:47 UTC,15,29,71,,,,
2019-09-17 22:13:12 UTC,16,29,71,,,,
2019-09-17 22:16:52 UTC,17,29,69,,,,
2019-09-17 22:18:21 UTC,18,29,69,,,,
2019-09-17 22:21:25 UTC,19,29,68,,,,
2019-09-17 22:33:07 UTC,20,29,68,,,,
2019-09-17 22:37:15 UTC,21,29,69,,,,
2019-09-17 22:38:14 UTC,22,28,68,,,,
2019-09-17 22:40:40 UTC,23,28,67,,,,
2019-09-17 22:40:57 UTC,24,28,67,,,,
2019-09-17 22:41:15 UTC,25,28,67,,,,
2019-09-17 22:41:33 UTC,26,28,67,,,,
2019-09-17 22:48:53 UTC,27,28,70,,,,
2019-09-17 22:52:48 UTC,28,28,69,,,,
2019-09-17 22:53:26 UTC,29,27,71,,,,
2019-09-17 22:56:38 UTC,30,27,71,,,,
2019-09-17 22:57:45 UTC,31,27,72,,,,
2019-09-17 23:04:35 UTC,32,27,74,,,,
2019-09-17 23:05:40 UTC,33,27,73,,,,
2019-09-17 23:06:51 UTC,34,27,72,,,,
2019-09-17 23:08:52 UTC,35,27,72,,,,
2019-09-17 23:20:40 UTC,36,27,72,,,,
2019-09-17 23:21:23 UTC,37,27,71,,,,
2019-09-17 23:41:38 UTC,38,27,71,,,,
2019-09-17 23:43:00 UTC,39,25,78,,,,
2019-09-18 00:02:32 UTC,40,27,75,,,,
2019-09-18 00:07:29 UTC,41,27,75,,,,
2019-09-18 00:07:57 UTC,42,27,75,,,,
2019-09-18 00:11:05 UTC,43,27,74,,,,
2019-09-18 00:12:12 UTC,44,27,76,,,,
2019-09-18 00:13:19 UTC,45,27,75,,,,
2019-09-18 00:14:26 UTC,46,26,76,,,,
2019-09-18 00:15:14 UTC,47,26,77,,,,
2019-09-18 00:16:22 UTC,48,26,77,,,,
2019-09-18 00:17:29 UTC,49,26,77,,,,
2019-09-18 00:18:36 UTC,50,26,77,,,,
2019-09-18 00:19:43 UTC,51,26,78,,,,
2019-09-18 00:20:51 UTC,52,26,79,,,,
2019-09-18 00:21:58 UTC,53,26,79,,,,
2019-09-18 00:23:05 UTC,54,26,79,,,,
2019-09-18 00:24:11 UTC,55,26,78,,,,
2019-09-18 00:27:50 UTC,56,26,77,,,,
2019-09-18 00:28:13 UTC,57,26,77,,,,
2019-09-18 00:29:20 UTC,58,26,78,,,,
2019-09-18 00:30:15 UTC,59,26,79,,,,
2019-09-18 00:35:42 UTC,60,27,76,,,,
2019-09-18 00:36:34 UTC,61,27,76,,,,
2019-09-18 00:37:40 UTC,62,27,75,,,,
2019-09-18 00:46:46 UTC,63,25,80,,,,
2019-09-18 00:47:09 UTC,64,25,80,,,,
2019-09-18 00:51:46 UTC,65,25,80,,,,
2019-09-18 00:53:37 UTC,66,25,79,,,,
2019-09-18 00:55:12 UTC,67,25,81,,,,
2019-09-18 01:04:52 UTC,68,26,79,,,,
2019-09-18 01:05:36 UTC,69,26,79,,,,
2019-09-18 01:07:04 UTC,70,26,81,,,,
2019-09-18 01:07:33 UTC,71,26,82,,,,
2019-09-18 01:09:25 UTC,72,26,79,,,,
2019-09-18 01:11:09 UTC,73,26,77,,,,
2019-09-18 01:11:37 UTC,74,26,76,,,,
2019-09-18 01:15:33 UTC,75,27,76,,,,
2019-09-18 01:16:00 UTC,76,26,76,,,,
2019-09-18 01:17:58 UTC,77,26,76,,,,
2019-09-18 01:18:17 UTC,78,26,78,,,,
2019-09-18 01:19:24 UTC,79,26,78,,,,
2019-09-18 01:20:33 UTC,80,26,79,,,,
2019-09-18 01:21:40 UTC,81,26,78,,,,
2019-09-18 01:22:48 UTC,82,26,77,,,,
2019-09-18 01:23:54 UTC,83,26,75,,,,
2019-09-18 01:25:01 UTC,84,27,75,,,,
2019-09-18 01:26:06 UTC,85,27,75,,,,
2019-09-18 01:26:26 UTC,86,26,76,,,,
2019-09-18 02:24:55 UTC,87,28,69,,,,
2019-09-18 02:26:30 UTC,88,28,68,,,,
2019-09-20 02:36:11 UTC,89,26,75,,,,
2019-09-20 02:36:32 UTC,90,26,75,,,,
2019-09-21 03:13:45 UTC,91,28,71,,,,
2019-09-21 03:14:26 UTC,92,27,75,,,,
2019-09-21 03:15:04 UTC,93,27,75,,,,
2019-09-21 03:16:09 UTC,94,27,74,,,,
2019-09-21 03:16:25 UTC,95,27,74,,,,
2019-09-21 03:16:40 UTC,96,27,74,,,,
2019-09-21 03:17:59 UTC,97,27,74,,,,
2019-09-21 03:20:20 UTC,98,26,75,,,,
2019-09-21 03:21:26 UTC,99,26,75,,,,
2019-09-21 03:22:31 UTC,100,26,76,,,,
2019-09-21 03:23:37 UTC,101,26,77,,,,
2019-09-21 03:24:43 UTC,102,26,78,,,,
2019-09-21 03:25:49 UTC,103,25,78,,,,
2019-09-21 03:26:54 UTC,104,25,79,,,,
2019-09-21 03:27:59 UTC,105,25,80,,,,
2019-09-21 03:29:05 UTC,106,25,81,,,,
2019-09-21 03:30:10 UTC,107,25,81,,,,
2019-09-21 03:31:20 UTC,108,25,81,,,,
2019-09-21 03:32:15 UTC,109,25,82,,,,
2019-09-21 03:33:21 UTC,110,24,82,,,,
2019-09-21 13:09:55 UTC,111,26,76,,,,
2019-09-21 13:11:01 UTC,112,26,76,,,,
2019-09-21 13:12:06 UTC,113,25,77,,,,
2019-09-21 13:13:12 UTC,114,24,80,,,,
2019-09-21 13:14:19 UTC,115,24,81,,,,
2019-09-21 13:15:25 UTC,116,24,82,,,,
2019-09-21 13:16:31 UTC,117,24,82,,,,
2019-09-21 13:17:36 UTC,118,24,82,,,,
2019-09-21 13:18:41 UTC,119,24,83,,,,
2019-09-21 13:19:47 UTC,120,24,83,,,,
2019-09-21 13:20:53 UTC,121,24,83,,,,
2019-09-21 13:21:59 UTC,122,24,83,,,,
2019-09-21 13:23:04 UTC,123,24,83,,,,
2019-09-21 13:24:10 UTC,124,24,83,,,,
2019-09-21 13:25:15 UTC,125,24,82,,,,
2019-09-21 13:26:21 UTC,126,24,83,,,,
2019-09-21 13:27:26 UTC,127,24,83,,,,
2019-09-21 13:28:32 UTC,128,24,82,,,,
2019-09-21 13:29:37 UTC,129,24,81,,,,
2019-09-21 13:30:43 UTC,130,24,81,,,,
2019-09-21 13:31:49 UTC,131,24,81,,,,
2019-09-21 13:32:54 UTC,132,24,81,,,,
2019-09-21 13:34:01 UTC,133,24,81,,,,
2019-09-21 13:35:07 UTC,134,24,81,,,,
2019-09-21 13:36:16 UTC,135,24,81,,,,
2019-09-21 13:37:24 UTC,136,24,81,,,,
2019-09-21 13:38:29 UTC,137,24,81,,,,
2019-09-21 13:39:35 UTC,138,24,81,,,,
2019-09-21 13:40:40 UTC,139,24,81,,,,
2019-09-22 01:14:38 UTC,140,23,88,,,,
2019-09-22 01:15:43 UTC,141,23,88,,,,
2019-09-22 01:16:49 UTC,142,23,88,,,,
2019-09-22 01:17:55 UTC,143,22,89,,,,
2019-09-22 01:19:01 UTC,144,22,91,,,,
2019-09-22 01:20:06 UTC,145,22,91,,,,
2019-09-22 01:20:24 UTC,146,22,91,,,,
2019-09-22 16:48:29 UTC,147,23,89,,,,
2019-09-22 16:49:34 UTC,148,23,90,,,,
2019-09-22 16:50:40 UTC,149,23,88,,,,
2019-09-22 16:51:45 UTC,150,23,90,,,,
2019-09-22 16:52:50 UTC,151,22,90,,,,
2019-09-22 16:53:56 UTC,152,22,91,,,,
2019-09-22 16:55:01 UTC,153,22,91,,,,
2019-09-22 16:56:07 UTC,154,22,91,,,,
2019-09-22 16:57:14 UTC,155,22,92,,,,
2019-09-22 16:58:19 UTC,156,22,92,,,,
2019-09-22 16:59:25 UTC,157,22,92,,,,
2019-09-22 17:00:30 UTC,158,22,92,,,,
2019-09-23 10:20:26 UTC,159,23,68,,,,
2019-09-23 10:21:04 UTC,160,23,67,,,,
2019-10-02 02:17:08 UTC,161,26,62,,,,
2019-10-02 02:18:42 UTC,162,26,61,,,,
2019-10-03 00:22:48 UTC,163,25,62,,,,
2019-10-03 00:24:21 UTC,164,25,61,,,,
2019-10-03 00:26:44 UTC,165,25,62,,,,
2019-10-03 00:27:01 UTC,166,25,60,,,,
2021-02-03 15:46:55 UTC,167,33,55,,,,
2021-02-03 16:09:38 UTC,168,33,56,,,,
2021-02-03 16:10:46 UTC,169,32,58,,,,
2021-02-03 16:11:54 UTC,170,32,58,,,,
2021-02-03 16:13:11 UTC,171,30,58,,,,
2021-02-03 16:14:15 UTC,172,30,59,,,,
2021-02-03 16:15:20 UTC,173,29,58,,,,
2021-02-03 16:16:33 UTC,174,29,58,,,,
2021-02-03 16:17:38 UTC,175,28,56,,,,
2021-02-03 16:18:43 UTC,176,28,56,,,,
2021-02-03 16:19:48 UTC,177,28,55,,,,
2021-02-03 16:24:08 UTC,178,27,53,,,,
2021-02-03 16:25:18 UTC,179,26,52,,,,
2021-02-03 16:26:25 UTC,180,26,51,,,,
2021-02-03 16:27:33 UTC,181,26,51,,,,
2021-02-03 16:28:40 UTC,182,26,51,,,,
2021-02-03 16:29:49 UTC,183,25,50,,,,
2021-02-03 16:30:56 UTC,184,25,49,,,,
2021-02-03 16:32:04 UTC,185,25,49,,,,
2021-02-03 16:33:11 UTC,186,25,48,,,,
2021-02-03 16:34:20 UTC,187,25,48,,,,
2021-02-03 16:35:27 UTC,188,25,48,,,,
2021-02-03 16:37:05 UTC,189,26,49,,,,
2021-02-03 16:42:42 UTC,190,25,48,,,,
2021-02-03 16:44:28 UTC,191,25,47,,,,
2021-02-03 16:45:21 UTC,192,24,48,,,,
2021-02-03 16:46:38 UTC,193,24,49,,,,
2021-02-03 16:47:55 UTC,194,24,49,,,,
2021-02-03 16:49:11 UTC,195,24,49,,,,
2021-02-03 16:50:30 UTC,196,24,49,,,,
2021-02-03 16:51:48 UTC,197,24,49,,,,
2021-02-03 16:53:05 UTC,198,24,49,,,,
2021-02-03 16:54:23 UTC,199,24,49,,,,
2021-02-03 16:55:38 UTC,200,24,49,,,,
2021-02-03 16:56:55 UTC,201,24,49,,,,
2021-02-03 16:58:12 UTC,202,24,49,,,,
2021-02-03 16:59:29 UTC,203,24,49,,,,
2021-02-03 17:00:47 UTC,204,24,48,,,,
2021-02-03 17:02:04 UTC,205,24,49,,,,
2021-02-03 17:03:21 UTC,206,24,49,,,,
2021-02-03 17:04:37 UTC,207,24,49,,,,
2021-02-03 17:05:56 UTC,208,24,48,,,,
2021-02-03 17:07:12 UTC,209,24,49,,,,
2021-02-03 17:08:31 UTC,210,24,49,,,,
2021-02-03 17:09:47 UTC,211,24,49,,,,
2021-02-03 17:11:04 UTC,212,24,49,,,,
2021-02-03 17:12:20 UTC,213,24,48,,,,
2021-02-03 17:13:38 UTC,214,24,48,,,,
2021-02-03 17:14:55 UTC,215,24,48,,,,
2021-02-03 17:16:18 UTC,216,24,48,,,,
2021-02-03 17:17:34 UTC,217,24,49,,,,
2021-02-03 17:18:53 UTC,218,24,49,,,,
2021-02-03 17:20:10 UTC,219,24,49,,,,
2021-02-03 17:21:27 UTC,220,24,49,,,,
2021-02-03 17:22:50 UTC,221,24,49,,,,
2021-02-03 17:24:07 UTC,222,23,49,,,,
2021-02-03 17:25:26 UTC,223,24,49,,,,
2021-02-03 17:26:41 UTC,224,24,49,,,,
